
150 ISOTOPES IN NETWORK:

Index  Isotope   A   Z   N  Abundance Y  MassFrac X  MassXS(MeV)
11 n+he3-->d+d reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-3.2690 prefac=1.0000 RGsymb:a+b<->c+d
12 n+he3-->he4 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=20.5774 prefac=1.0000 RGsymb:a+b<->c
13 he4-->n+he3 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-20.5774 prefac=1.0000 RGsymb:a+b<->c
14 p+he3-->he4+e++nu reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=19.7960 prefac=1.0000 RGsymb:a+b<->c
15 d+he3-->p+he4 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=18.3530 prefac=1.0000 RGsymb:a+b<->c+d
16 d+he3-->p+he4 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=18.3530 prefac=1.0000 RGsymb:a+b<->c+d
17 p+he4-->d+he3 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-18.3530 prefac=1.0000 RGsymb:a+b<->c+d
18 p+he4-->d+he3 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-18.3530 prefac=1.0000 RGsymb:a+b<->c+d
19 he3+he3-->p+p+he4 reacClass=6 #react=2 #prod=3 isEC=0 isReverse=0 Q=12.8600 prefac=0.5000 RGsymb:a+b<->c+d+e
20 p+p+he4-->he3+he3 reacClass=8 #react=3 #prod=2 isEC=0 isReverse=0 Q=-12.8600 prefac=1.0000 RGsymb:a+b<->c+d+e
21 d+he4-->li6 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=1.4750 prefac=1.0000 RGsymb:a+b<->c
22 d+he4-->li6 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=1.4750 prefac=1.0000 RGsymb:a+b<->c
23 li6-->d+he4 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-1.4750 prefac=1.0000 RGsymb:a+b<->c
24 li6-->d+he4 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-1.4750 prefac=1.0000 RGsymb:a+b<->c
25 he3+he4-->be7 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=1.5880 prefac=1.0000 RGsymb:a+b<->c
26 be7-->he3+he4 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-1.5880 prefac=1.0000 RGsymb:a+b<->c
